,villa_name,price,agents,position,locality
0,"2 BHK Apartment in My Home MangalaKondapur, Hyderabad","Specifications 1.2 Cr9,230 / sq ft1300 Area in sq ftReady to moveConstruction Status",Vivek AssociatesAGENT0,Ready to moveConstruction Status,"Kondapur, Hyderabad"
1,"2 BHK Apartment in My Home MangalaKondapur, Hyderabad","Specifications 1.35 Cr7,485 / sq ft1815 Area in sq ftReady to moveConstruction Status",BestpropinAGENT0,Ready to moveConstruction Status,"Kondapur, Hyderabad"
2,"2 BHK Apartment in My Home MangalaKondapur, Hyderabad","Specifications 1.55 Cr7,948 / sq ft1950 Area in sq ftReady to moveConstruction Status",Sahara Real Estate ConsultantsAGENT0,Ready to moveConstruction Status,"Kondapur, Hyderabad"
3,"2 BHK Apartment in My Home MangalaKondapur, Hyderabad","Specifications 1.37 Cr7,002 / sq ft1964 Area in sq ftUnder ConstructionConstruction Status",YugandharAGENT0,Under ConstructionConstruction Status,"Kondapur, Hyderabad"
4,"2 BHK Apartment in My Home MangalaKondapur, Hyderabad","Specifications 2.14 Cr7,919 / sq ft2710 Area in sq ftUnder ConstructionConstruction Status",RamanaAGENT0,Under ConstructionConstruction Status,"Kondapur, Hyderabad"
5,"2 BHK Apartment in My Home MangalaKondapur, Hyderabad","Specifications 32 L12,307 / sq ft260 Area in sq ftUnder ConstructionConstruction Status",Sunitha kritiAGENT0,Under ConstructionConstruction Status,"Kondapur, Hyderabad"
6,"2 BHK Apartment in My Home MangalaKondapur, Hyderabad","Specifications 1.07 Cr7,300 / sq ft1476 Area in sq ftUnder ConstructionConstruction Status",Full Basket property services Pvt ltdAGENT0,Under ConstructionConstruction Status,"Kondapur, Hyderabad"
7,"2 BHK Apartment in My Home MangalaKondapur, Hyderabad","Specifications 2.1 Cr8,183 / sq ft2566 Area in sq ftReady to moveConstruction Status",gopi siddeAGENT0,Ready to moveConstruction Status,"Kondapur, Hyderabad"
8,"2 BHK Apartment in My Home MangalaKondapur, Hyderabad","Specifications 1.1 Cr6,196 / sq ft1776 Area in sq ftUnder ConstructionConstruction Status",Raga EstateAGENT0,Under ConstructionConstruction Status,"Kondapur, Hyderabad"
9,"2 BHK Apartment in My Home MangalaKondapur, Hyderabad","Specifications 89.22 L6,949 / sq ft1284 Area in sq ftUnder ConstructionConstruction Status",Kazim Co Real EstateAGENT0,Under ConstructionConstruction Status,"Kondapur, Hyderabad"
10,"2 BHK Apartment in My Home MangalaKondapur, Hyderabad","Specifications 87.11 L6,079 / sq ft1433 Area in sq ftReady to moveConstruction Status",EXP Global India Pvt LtdAGENT0,Ready to moveConstruction Status,"Kondapur, Hyderabad"
11,"2 BHK Apartment in My Home MangalaKondapur, Hyderabad","Specifications 1.6 Cr7,699 / sq ft2080 Area in sq ftUnder ConstructionConstruction Status",Renu RSRAGENT0,Under ConstructionConstruction Status,"Kondapur, Hyderabad"
12,"2 BHK Apartment in My Home MangalaKondapur, Hyderabad","Specifications 48 L3,966 / sq ft1210 Area in sq ftUnder ConstructionConstruction Status",TlrinfraAGENT0,Under ConstructionConstruction Status,"Kondapur, Hyderabad"
13,"2 BHK Apartment in My Home MangalaKondapur, Hyderabad","Specifications 12 Cr24,000 / sq ft5000 Area in sq ftReady to moveConstruction Status",Lanar RealtorsAGENT0,Ready to moveConstruction Status,"Kondapur, Hyderabad"
